Order_ID,Customer_ID,Product_ID,Order_Date,City,Country,Category,Product,Quantity,Unit_Price,Discount_Pct,Sales_Amount,Cost_Amount,Profit_Amount,Order_Status,Sales_Channel,Payment_Method
ORD000020,CUST01892,PROD0402,2025-11-05,Dubai,UAE,Beauty,Skincare Set,2,443.51,0.2,709.62,498.67,210.95,Completed,Marketplace,Wallet
ORD000021,CUST01245,PROD0104,2025-12-10,Riyadh,Saudi Arabia,Electronics,Smartwatch,3,1380.61,0.2,3313.46,1953.18,1360.28,Cancelled,Online,Cash
ORD000022,CUST01353,PROD0604,2026-05-07,Riyadh,Saudi Arabia,Sports,Fitness Tracker,2,1412.73,0.0,2825.46,1928.99,896.47,Returned,Marketplace,Wallet
ORD000023,CUST00626,PROD0103,2026-02-18,Jeddah,Saudi Arabia,Electronics,Headphones,2,1889.13,0.05,3589.35,2856.51,732.84,Returned,Marketplace,Card
ORD000024,CUST02354,PROD0303,2026-01-21,Riyadh,Saudi Arabia,Fashion,T-Shirt,2,439.43,0.15,747.03,602.12,144.91,Completed,Retail Store,Cash
ORD000025,CUST00139,PROD0302,2025-07-11,Dubai,UAE,Fashion,Sneakers,1,145.26,0.05,138.0,105.72,32.28,Cancelled,Marketplace,Cash
ORD000026,CUST00325,PROD0601,2025-10-04,Abu Dhabi,UAE,Sports,Yoga Mat,5,494.89,0.05,2350.73,1608.81,741.92,Completed,Retail Store,Bank Transfer
ORD000027,CUST00577,PROD0204,2025-06-10,Riyadh,Saudi Arabia,Home Appliances,Vacuum Cleaner,2,2190.02,0.2,3504.03,2026.61,1477.42,Completed,Marketplace,Card
ORD000028,CUST01072,PROD0201,2026-04-05,Jubail,Saudi Arabia,Home Appliances,Air Conditioner,3,2204.89,0.2,5291.74,3240.38,2051.36,Completed,Online,Wallet
ORD000029,CUST02097,PROD0401,2025-11-10,Jubail,Saudi Arabia,Beauty,Perfume,1,179.35,0.0,179.35,107.29,72.06,Completed,Marketplace,Bank Transfer
ORD000030,CUST01585,PROD0202,2025-01-22,Jeddah,Saudi Arabia,Home Appliances,Refrigerator,1,340.01,0.15,289.01,184.35,104.66,Cancelled,Retail Store,Wallet
ORD000031,CUST00247,PROD0204,2025-09-10,Dubai,UAE,Home Appliances,Vacuum Cleaner,1,97.41,0.05,92.54,65.52,27.02,Completed,Retail Store,Bank Transfer
ORD000032,CUST01406,PROD0604,2026-07-15,Sharjah,UAE,Sports,Fitness Tracker,2,1117.99,0.0,2235.98,1394.8,841.18,Completed,Online,Bank Transfer
ORD000033,CUST02060,PROD0603,2026-04-20,Dubai,UAE,Sports,Dumbbells,3,1862.22,0.2,4469.33,3447.84,1021.49,Completed,Retail Store,Wallet
ORD000034,CUST01104,PROD0103,2025-02-28,Riyadh,Saudi Arabia,Electronics,Headphones,5,159.49,0.2,637.96,418.31,219.65,Completed,Marketplace,Bank Transfer
ORD000035,CUST00493,PROD0103,2026-05-26,Jeddah,Saudi Arabia,Electronics,Headphones,3,2361.22,0.15,6021.11,4810.32,1210.79,Completed,Marketplace,Cash
ORD000036,CUST00644,PROD0602,2026-11-13,Riyadh,Saudi Arabia,Sports,Running Shoes,5,1772.47,0.1,7976.12,5718.91,2257.21,Completed,Online,Cash
ORD000037,CUST02497,PROD0302,2026-04-21,Riyadh,Saudi Arabia,Fashion,Sneakers,1,2365.52,0.05,2247.24,1393.87,853.37,Returned,Marketplace,Card
ORD000038,CUST01026,PROD0601,2026-12-01,Riyadh,Saudi Arabia,Sports,Yoga Mat,5,2142.0,0.1,9639.0,5848.21,3790.79,Completed,Retail Store,Bank Transfer
ORD000039,CUST01299,PROD0602,2025-07-09,Jeddah,Saudi Arabia,Sports,Running Shoes,5,319.98,0.1,1439.91,948.66,491.25,Cancelled,Marketplace,Card
ORD000040,CUST01567,PROD0604,2026-11-18,Dubai,UAE,Sports,Fitness Tracker,2,2106.52,0.05,4002.39,3026.73,975.66,Completed,Online,Cash
ORD000041,CUST01873,PROD0102,2026-07-17,Sharjah,UAE,Electronics,Laptop,5,474.26,0.15,2015.6,1555.4,460.2,Completed,Marketplace,Cash
ORD000042,CUST02283,PROD0101,2026-07-21,Dubai,UAE,Electronics,Smartphone,2,1572.44,0.15,2673.15,1929.27,743.88,Cancelled,Marketplace,Bank Transfer
ORD000043,CUST01557,PROD0101,2025-09-01,Dammam,Saudi Arabia,Electronics,Smartphone,2,1095.77,0.2,1753.23,1097.95,655.28,Cancelled,Retail Store,Wallet
ORD000044,CUST01973,PROD0501,2026-05-20,Jeddah,Saudi Arabia,Grocery,Coffee,4,308.13,0.2,986.02,597.93,388.09,Returned,Marketplace,Card
ORD000045,CUST02177,PROD0104,2025-05-11,Jeddah,Saudi Arabia,Electronics,Smartwatch,3,156.67,0.05,446.51,334.76,111.75,Completed,Marketplace,Bank Transfer
ORD000046,CUST01441,PROD0304,2026-04-30,Riyadh,Saudi Arabia,Fashion,Handbag,1,2243.93,0.2,1795.14,1450.91,344.23,Completed,Online,Card
ORD000047,CUST00452,PROD0401,2026-10-09,Dubai,UAE,Beauty,Perfume,2,1619.0,0.1,2914.2,2339.26,574.94,Completed,Online,Card
ORD000048,CUST02499,PROD0502,2025-01-21,Riyadh,Saudi Arabia,Grocery,Dates,1,1157.45,0.1,1041.71,845.24,196.47,Returned,Online,Bank Transfer
ORD000049,CUST00144,PROD0302,2025-06-16,Jeddah,Saudi Arabia,Fashion,Sneakers,1,2116.97,0.0,2116.97,1744.69,372.28,Returned,Online,Card
ORD000050,CUST01734,PROD0403,2025-10-01,Abu Dhabi,UAE,Beauty,Makeup Kit,3,1543.14,0.0,4629.42,2950.91,1678.51,Cancelled,Marketplace,Bank Transfer
ORD000051,CUST01411,PROD0601,2026-01-23,Riyadh,Saudi Arabia,Sports,Yoga Mat,5,2137.59,0.05,10153.55,7242.07,2911.48,Cancelled,Marketplace,Cash
ORD000052,CUST02296,PROD0104,2026-08-24,Riyadh,Saudi Arabia,Electronics,Smartwatch,3,1250.88,0.2,3002.11,2262.38,739.73,Completed,Online,Bank Transfer
ORD000053,CUST00775,PROD0403,2025-11-12,Dubai,UAE,Beauty,Makeup Kit,5,855.38,0.15,3635.36,2938.59,696.77,Cancelled,Online,Card
ORD000054,CUST01506,PROD0504,2025-01-14,Abu Dhabi,UAE,Grocery,Olive Oil,4,1275.75,0.2,4082.4,2398.52,1683.88,Cancelled,Retail Store,Cash
ORD000055,CUST01407,PROD0604,2025-08-30,Dubai,UAE,Sports,Fitness Tracker,2,1412.47,0.15,2401.2,1482.29,918.91,Cancelled,Retail Store,Wallet
ORD000056,CUST01242,PROD0402,2025-12-12,Dammam,Saudi Arabia,Beauty,Skincare Set,4,1875.93,0.0,7503.72,4253.97,3249.75,Completed,Online,Cash
ORD000057,CUST01677,PROD0202,2026-07-19,Jubail,Saudi Arabia,Home Appliances,Refrigerator,5,1539.46,0.0,7697.3,4866.33,2830.97,Completed,Retail Store,Wallet
ORD000058,CUST00167,,2025-12-06,Jeddah,Saudi Arabia,Grocery,Snacks,1,576.96,0.1,519.26,356.65,162.61,Cancelled,Retail Store,Card
ORD000059,CUST01757,PROD0101,2025-04-02,Dammam,Saudi Arabia,Electronics,Smartphone,2,1934.02,0.15,3287.83,2784.02,503.81,Completed,Retail Store,Card
ORD000060,CUST02312,PROD0604,2026-01-02,Dubai,UAE,Sports,Fitness Tracker,4,1765.76,0.1,6356.74,4588.33,1768.41,Returned,Online,Wallet
ORD000061,CUST01061,PROD0101,2026-03-31,Jeddah,Saudi Arabia,Electronics,Smartphone,3,1279.59,0.05,3646.83,2904.56,742.27,Completed,Marketplace,Card
ORD000062,CUST01043,PROD0504,2026-03-04,Jeddah,Saudi Arabia,Grocery,Olive Oil,3,2301.28,0.0,6903.84,5496.79,1407.05,Completed,Retail Store,Card
ORD000063,CUST00097,PROD0604,2026-05-24,Dubai,UAE,Sports,Fitness Tracker,3,2332.69,0.1,6298.26,5196.02,1102.24,Returned,Marketplace,Card
ORD000064,CUST01661,PROD0101,2025-02-04,Dubai,UAE,Electronics,Smartphone,3,1345.7,0.0,4037.1,2684.19,1352.91,Completed,Marketplace,Card
ORD000065,CUST02387,PROD0601,2025-07-25,Riyadh,Saudi Arabia,Sports,Yoga Mat,5,1817.78,0.05,8634.46,7333.03,1301.43,Completed,Retail Store,Card
ORD000066,CUST01569,PROD0201,2025-03-22,Jeddah,Saudi Arabia,Home Appliances,Air Conditioner,2,717.06,0.1,1290.71,778.3,512.41,Cancelled,Marketplace,Cash
ORD000067,CUST02192,PROD0601,2026-07-16,Abu Dhabi,UAE,Sports,Yoga Mat,3,753.64,0.0,2260.92,1813.67,447.25,Completed,Online,Card
ORD000068,CUST01586,PROD0101,2026-01-23,Sharjah,UAE,Electronics,Smartphone,5,248.83,0.1,1119.74,847.85,271.89,Completed,Online,Card
ORD000069,CUST01678,PROD0503,2025-01-02,Dammam,Saudi Arabia,Grocery,Snacks,3,1231.74,0.0,3695.22,2616.94,1078.28,Completed,Marketplace,Wallet
ORD000070,CUST01634,PROD0201,2026-01-25,Sharjah,UAE,Home Appliances,Air Conditioner,5,159.71,0.05,758.62,519.66,238.96,Completed,Marketplace,Bank Transfer
ORD000071,CUST02306,PROD0604,2026-07-20,Riyadh,Saudi Arabia,Sports,Fitness Tracker,1,1296.14,0.15,1101.72,765.76,335.96,Returned,Retail Store,Card
ORD000072,CUST02143,PROD0301,2025-04-16,Abu Dhabi,UAE,Fashion,Abaya,3,2023.69,0.15,5160.41,3947.19,1213.22,Cancelled,Online,Card
ORD000073,CUST00266,PROD0501,2026-04-22,Dubai,UAE,Grocery,Coffee,1,805.16,0.0,805.16,450.43,354.73,Cancelled,Online,Wallet
ORD000074,CUST01181,PROD0503,2026-12-04,Dubai,UAE,Grocery,Snacks,3,2466.09,0.15,6288.53,4548.89,1739.64,Completed,Online,Card
ORD000075,CUST00427,PROD0303,2026-02-06,Jeddah,Saudi Arabia,Fashion,T-Shirt,4,1544.96,0.1,5561.86,3215.3,2346.56,Completed,Online,Bank Transfer
ORD000076,CUST00143,PROD0101,2026-12-31,Jeddah,Saudi Arabia,Electronics,Smartphone,2,1851.11,0.1,3332.0,2714.72,617.28,Completed,Online,Card
ORD000077,CUST01614,PROD0502,2026-07-10,Dammam,Saudi Arabia,Grocery,Dates,4,676.33,0.2,2164.26,1837.47,326.79,Cancelled,Marketplace,Wallet
ORD000078,CUST01077,PROD0403,2025-06-11,Jeddah,Saudi Arabia,Beauty,Makeup Kit,4,863.74,0.15,2936.72,2037.66,899.06,Completed,Online,Cash
ORD000079,CUST01986,PROD0602,2025-07-21,Dammam,Saudi Arabia,Sports,Running Shoes,2,199.49,0.2,319.18,189.39,129.79,Completed,Online,Card
ORD000080,CUST01207,PROD0204,2025-09-27,Sharjah,UAE,Home Appliances,Vacuum Cleaner,3,459.98,0.2,1103.95,914.62,189.33,Completed,Marketplace,Wallet
ORD000081,CUST00602,PROD0604,2025-09-28,Abu Dhabi,UAE,Sports,Fitness Tracker,3,21.96,0.05,62.59,40.84,21.75,Cancelled,Marketplace,Wallet
ORD000082,CUST02482,PROD0604,2026-04-01,Dubai,UAE,Sports,Fitness Tracker,4,426.55,0.05,1620.89,1283.35,337.54,Completed,Online,Cash
ORD000083,CUST01188,PROD0401,2026-04-07,Riyadh,Saudi Arabia,Beauty,Perfume,2,2305.12,0.15,3918.7,2341.36,1577.34,Completed,Online,Wallet
ORD000084,CUST00592,PROD0102,2026-12-28,Dammam,Saudi Arabia,Electronics,Laptop,5,1680.82,0.0,8404.1,6845.27,1558.83,Completed,Marketplace,Bank Transfer
ORD000085,CUST01805,PROD0304,2025-09-09,Riyadh,Saudi Arabia,Fashion,Handbag,5,1655.37,0.0,8276.85,5862.91,2413.94,Completed,Marketplace,Wallet
ORD000086,CUST01125,PROD0502,2026-12-03,Jubail,Saudi Arabia,Grocery,Dates,1,760.4,0.2,608.32,395.57,212.75,Completed,Marketplace,Cash
ORD000087,CUST00431,PROD0502,2025-10-23,Abu Dhabi,UAE,Grocery,Dates,2,1588.53,0.15,2700.5,2197.56,502.94,Returned,Marketplace,Cash
ORD000088,CUST00444,PROD0602,2026-12-26,Dammam,Saudi Arabia,Sports,Running Shoes,5,80.49,0.0,402.45,268.67,133.78,Cancelled,Online,Bank Transfer
ORD000089,CUST01168,PROD0304,2026-12-21,Dubai,UAE,Fashion,Handbag,1,21.78,0.0,21.78,13.51,8.27,Completed,Marketplace,Bank Transfer
ORD000090,CUST00044,PROD0201,2025-12-04,Dammam,Saudi Arabia,Home Appliances,Air Conditioner,4,965.45,0.15,3282.53,2049.23,1233.3,Completed,Marketplace,Wallet
ORD000091,CUST01083,PROD0103,2025-02-22,Jeddah,Saudi Arabia,Electronics,Headphones,4,1213.35,0.0,4853.4,3004.14,1849.26,Cancelled,Retail Store,Card
ORD000092,CUST01886,PROD0303,2025-08-05,Dubai,UAE,Fashion,T-Shirt,2,965.24,0.05,1833.96,1314.99,518.97,Completed,Marketplace,Wallet
ORD000093,CUST01190,PROD0104,2025-07-07,Jeddah,Saudi Arabia,Electronics,Smartwatch,1,1024.93,0.15,871.19,587.22,283.97,Returned,Online,Wallet
ORD000094,CUST01549,PROD0301,2026-01-15,Dubai,UAE,Fashion,Abaya,1,1188.29,0.0,1188.29,856.16,332.13,Completed,Marketplace,Wallet
ORD000095,CUST02346,PROD0504,2026-05-08,Dammam,Saudi Arabia,Grocery,Olive Oil,3,2168.74,0.05,6180.91,3619.16,2561.75,Returned,Online,Wallet
ORD000096,CUST00890,PROD0303,2025-02-10,Abu Dhabi,UAE,Fashion,T-Shirt,5,1064.37,0.2,4257.48,3186.44,1071.04,Completed,Marketplace,Bank Transfer
ORD000097,CUST00135,PROD0401,2025-06-06,Riyadh,Saudi Arabia,Beauty,Perfume,4,2433.4,0.05,9246.92,6278.81,2968.11,Returned,Retail Store,Bank Transfer
ORD000098,CUST02041,PROD0104,2025-01-15,Dubai,UAE,Electronics,Smartwatch,3,1534.93,0.2,3683.83,2748.63,935.2,Returned,Retail Store,Cash
ORD000099,CUST02149,PROD0201,2025-03-06,Dubai,UAE,Home Appliances,Air Conditioner,4,1419.2,0.2,4541.44,3618.59,922.85,Completed,Retail Store,Bank Transfer
ORD000100,CUST01996,PROD0303,2026-06-05,Abu Dhabi,UAE,Fashion,T-Shirt,3,1115.0,0.1,3010.5,2422.34,588.16,Cancelled,Marketplace,Card
ORD000101,CUST00243,PROD0201,2025-12-10,Abu Dhabi,UAE,Home Appliances,Air Conditioner,3,1958.58,0.2,4700.59,3260.3,1440.29,Completed,Online,Bank Transfer
ORD000102,CUST00647,PROD0403,2025-05-09,Jeddah,Saudi Arabia,Beauty,Makeup Kit,3,1679.58,0.1,4534.87,3225.42,1309.45,Completed,Online,Card
ORD000103,CUST01375,PROD0502,2026-10-10,Jeddah,Saudi Arabia,Grocery,Dates,5,302.13,0.15,1284.05,747.86,536.19,Returned,Retail Store,Bank Transfer
ORD000104,CUST00468,PROD0104,2026-04-17,Jeddah,Saudi Arabia,Electronics,Smartwatch,3,2136.3,0.1,-150.0,4260.04,1507.97,Completed,Retail Store,Bank Transfer
ORD000105,CUST00913,PROD0504,2025-03-04,Dubai,UAE,Grocery,Olive Oil,1,322.29,0.2,257.83,187.08,70.75,Completed,Online,Bank Transfer
ORD000106,CUST00666,PROD0604,2025-05-19,Riyadh,Saudi Arabia,Sports,Fitness Tracker,2,2331.14,0.2,3729.82,2438.25,1291.57,Completed,Marketplace,Wallet
ORD000107,CUST01757,PROD0302,2026-05-14,Riyadh,Saudi Arabia,Fashion,Sneakers,2,2202.23,0.1,3964.01,2226.1,1737.91,Returned,Marketplace,Bank Transfer
ORD000108,CUST01317,PROD0401,2026-08-16,Abu Dhabi,UAE,Beauty,Perfume,5,1727.06,0.2,6908.24,4670.67,2237.57,Completed,Marketplace,Cash
ORD000109,CUST00297,PROD0603,2026-01-27,Dubai,UAE,Sports,Dumbbells,3,109.01,0.2,261.62,171.52,90.1,Completed,Retail Store,Card
ORD000110,CUST01699,PROD0501,2026-11-06,Dubai,UAE,Grocery,Coffee,3,1726.97,0.15,4403.77,3059.93,1343.84,Cancelled,Online,Cash
ORD000111,CUST01459,PROD0102,2026-02-23,Dubai,UAE,Electronics,Laptop,5,699.55,0.05,3322.86,2385.67,937.19,Completed,Marketplace,Card
ORD000112,CUST00279,PROD0102,2025-10-16,Dubai,UAE,Electronics,Laptop,2,1724.46,0.2,2759.14,2337.87,421.27,Completed,Online,Cash
ORD000113,CUST01260,PROD0302,2026-01-14,Dubai,UAE,Fashion,Sneakers,1,1688.68,0.0,1688.68,1251.33,437.35,Completed,Retail Store,Bank Transfer
ORD000114,CUST00416,PROD0202,2026-05-05,Dubai,UAE,Home Appliances,Refrigerator,2,1812.9,0.05,3444.51,2408.96,1035.55,Completed,Retail Store,Card
ORD000115,CUST02291,PROD0302,2025-08-19,Dammam,Saudi Arabia,Fashion,Sneakers,2,2069.02,0.2,3310.43,2591.96,718.47,Completed,Retail Store,Card
ORD000116,CUST00449,PROD0502,2025-02-10,Riyadh,Saudi Arabia,Grocery,Dates,3,693.03,0.05,1975.14,1402.44,572.7,Completed,Retail Store,Cash
ORD000117,CUST01526,PROD0304,2025-01-28,Abu Dhabi,UAE,Fashion,Handbag,1,269.87,0.1,242.88,167.95,74.93,Returned,Online,Wallet
ORD000118,CUST00133,PROD0403,2025-05-15,Riyadh,Saudi Arabia,Beauty,Makeup Kit,5,1939.03,0.1,8725.64,5679.47,3046.17,Returned,Online,Cash
ORD000119,CUST00578,PROD0404,2025-07-20,Jubail,Saudi Arabia,Beauty,Hair Dryer,4,2372.66,0.1,8541.58,7101.61,1439.97,Completed,Marketplace,Wallet
ORD000120,CUST01602,PROD0104,2025-02-02,Jeddah,Saudi Arabia,Electronics,Smartwatch,2,617.38,0.1,1111.28,749.51,361.77,Completed,Online,Wallet
ORD000121,CUST01751,PROD0602,2025-02-17,Abu Dhabi,UAE,Sports,Running Shoes,2,1831.43,0.05,3479.72,2299.82,1179.9,Cancelled,Marketplace,Card
ORD000122,CUST01360,PROD0204,2026-05-18,Dubai,UAE,Home Appliances,Vacuum Cleaner,1,1714.01,0.1,1542.61,1288.36,254.25,Completed,Retail Store,Cash
ORD000123,CUST01844,PROD0402,2026-02-11,Jeddah,Saudi Arabia,Beauty,Skincare Set,5,2440.67,0.1,10983.02,7095.64,3887.38,Completed,Retail Store,Card
ORD000124,CUST00836,PROD0104,2026-07-28,Dubai,UAE,Electronics,Smartwatch,3,2022.22,0.15,5156.66,3437.72,1718.94,Completed,Marketplace,Cash
ORD000125,CUST02090,PROD0204,2026-12-29,Riyadh,Saudi Arabia,Home Appliances,Vacuum Cleaner,2,1574.11,0.05,2990.81,2093.22,897.59,Completed,Online,Cash
ORD000126,CUST00597,PROD0302,2025-04-09,Dammam,Saudi Arabia,Fashion,Sneakers,1,620.61,0.0,620.61,489.14,131.47,Cancelled,Marketplace,Wallet
ORD000127,CUST01378,PROD0103,2026-11-15,Dubai,UAE,Electronics,Headphones,5,670.52,0.0,3352.6,2716.3,636.3,Completed,Online,Bank Transfer
ORD000128,CUST00265,PROD0502,2026-12-27,Dubai,UAE,Grocery,Dates,5,1980.7,0.2,7922.8,5095.73,2827.07,Cancelled,Online,Cash
ORD000129,CUST01402,PROD0201,2026-07-01,Dammam,Saudi Arabia,Home Appliances,Air Conditioner,2,1018.88,0.05,1935.87,1281.9,653.97,Completed,Retail Store,Wallet
ORD000130,CUST01400,PROD0303,2026-09-05,Jeddah,Saudi Arabia,Fashion,T-Shirt,1,619.17,0.05,588.21,468.89,119.32,Completed,Marketplace,Bank Transfer
ORD000131,CUST01617,PROD0204,2026-04-07,Dammam,Saudi Arabia,Home Appliances,Vacuum Cleaner,3,1701.18,0.1,4593.19,3852.93,740.26,Completed,Marketplace,Cash
ORD000132,CUST00282,PROD0302,2026-10-05,Jeddah,Saudi Arabia,Fashion,Sneakers,3,2467.01,0.0,7401.03,5882.41,1518.62,Completed,Marketplace,Wallet
ORD000133,CUST01711,PROD0102,2025-01-05,Dubai,UAE,Electronics,Laptop,1,605.3,0.1,544.77,321.54,223.23,Completed,Marketplace,Bank Transfer
ORD000134,CUST01981,PROD0301,2025-08-06,Riyadh,Saudi Arabia,Fashion,Abaya,5,864.29,0.15,3673.23,2184.77,1488.46,Completed,Retail Store,Bank Transfer
ORD000135,CUST01949,PROD0402,2026-05-18,Jeddah,Saudi Arabia,Beauty,Skincare Set,1,1744.09,0.05,1656.89,1014.32,642.57,Completed,Marketplace,Bank Transfer
ORD000136,CUST01472,PROD0301,2026-02-02,Riyadh,Saudi Arabia,Fashion,Abaya,2,295.08,0.05,560.65,420.05,140.6,Completed,Online,Wallet
ORD000137,CUST00401,PROD0204,2026-01-28,Dammam,Saudi Arabia,Home Appliances,Vacuum Cleaner,4,2452.85,0.2,7849.12,6431.86,1417.26,Returned,Retail Store,Bank Transfer
ORD000138,CUST00547,PROD0401,2025-07-26,Dubai,UAE,Beauty,Perfume,2,2323.25,0.2,3717.2,2259.22,1457.98,Cancelled,Marketplace,Card
ORD000139,CUST00583,PROD0102,2025-01-15,Riyadh,Saudi Arabia,Electronics,Laptop,3,331.99,0.1,896.37,634.22,262.15,Cancelled,Online,Card
ORD000140,CUST01251,PROD0604,2026-07-08,Dubai,UAE,Sports,Fitness Tracker,5,1762.79,0.2,7051.16,4093.38,2957.78,Completed,Online,Cash
ORD000141,CUST01716,PROD0201,2026-04-06,Dubai,UAE,Home Appliances,Air Conditioner,5,912.59,0.2,3650.36,2654.77,995.59,Completed,Marketplace,Bank Transfer
ORD000142,CUST01671,PROD0602,2026-11-22,Abu Dhabi,UAE,Sports,Running Shoes,2,1564.4,0.0,3128.8,2655.81,472.99,Completed,Online,Bank Transfer
ORD000143,CUST00167,PROD0603,2026-07-29,Abu Dhabi,UAE,Sports,Dumbbells,3,1900.84,0.15,4847.14,3131.08,1716.06,Completed,Online,Bank Transfer
ORD000144,CUST00688,PROD0402,2025-08-29,Abu Dhabi,UAE,Beauty,Skincare Set,2,287.75,0.2,460.4,334.56,125.84,Completed,Retail Store,Wallet
ORD000145,CUST00626,PROD0101,2026-07-18,Riyadh,Saudi Arabia,Electronics,Smartphone,5,85.59,0.2,342.36,211.49,130.87,Completed,Marketplace,Wallet
ORD000146,CUST00676,PROD0502,2025-04-06,Riyadh,Saudi Arabia,Grocery,Dates,2,204.79,0.2,327.66,275.51,52.15,Completed,Online,Card
ORD000147,CUST01895,PROD0402,2026-04-30,Dubai,UAE,Beauty,Skincare Set,3,2391.21,0.05,6814.95,4173.01,2641.94,Cancelled,Retail Store,Card
ORD000148,CUST01811,PROD0603,2026-02-11,Jubail,Saudi Arabia,Sports,Dumbbells,5,120.02,0.15,510.08,397.49,112.59,Completed,Marketplace,Wallet
ORD000149,CUST01276,PROD0203,2025-08-19,Jubail,Saudi Arabia,Home Appliances,Microwave,2,1607.09,0.05,3053.47,2233.71,819.76,Completed,Marketplace,Wallet
ORD000150,CUST01118,PROD0302,2026-10-17,Abu Dhabi,UAE,Fashion,Sneakers,4,166.87,0.15,567.36,334.33,233.03,Completed,Online,Wallet
ORD000151,CUST02218,PROD0401,2025-06-20,Dubai,UAE,Beauty,Perfume,4,2260.97,0.2,7235.1,5722.4,1512.7,Cancelled,Retail Store,Card
ORD000152,CUST00247,PROD0301,2026-06-25,Dammam,Saudi Arabia,Fashion,Abaya,2,1527.74,0.05,2902.71,2311.93,590.78,Returned,Retail Store,Card
ORD000153,CUST00256,PROD0604,2025-02-05,Abu Dhabi,UAE,Sports,Fitness Tracker,2,1623.62,0.1,2922.52,2338.72,583.8,Completed,Online,Bank Transfer
ORD000154,CUST01424,PROD0303,2026-06-09,Abu Dhabi,UAE,Fashion,T-Shirt,1,1336.53,0.1,1202.88,718.79,484.09,Completed,Retail Store,Card
ORD000155,CUST00099,PROD0204,2025-06-09,Jubail,Saudi Arabia,Home Appliances,Vacuum Cleaner,1,1978.86,0.1,1780.97,1063.06,717.91,Returned,Retail Store,Cash
